Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Galutinis
Vardas100000 Pavarde100000 2 2 3 4 4 5 5 8 9 9 8
Vardas10003 Pavarde10003 1 2 3 3 7 8 8 9 10 10 10
Vardas10005 Pavarde10005 1 2 2 4 6 6 6 7 8 10 10
Vardas10008 Pavarde10008 1 1 2 4 4 6 6 8 9 9 6
Vardas10010 Pavarde10010 1 1 3 4 5 6 6 6 8 8 10
Vardas10012 Pavarde10012 2 2 2 3 3 5 5 6 9 10 7
Vardas10013 Pavarde10013 1 2 2 3 4 7 8 8 8 10 10
Vardas10014 Pavarde10014 1 3 3 5 7 7 7 7 9 10 8
Vardas10015 Pavarde10015 1 2 2 3 4 4 6 7 8 8 9
Vardas10016 Pavarde10016 1 1 1 2 6 7 7 8 10 10 7
Vardas10018 Pavarde10018 2 2 3 4 5 5 8 9 10 10 8
Vardas10019 Pavarde10019 2 3 3 3 5 6 6 8 10 10 6
Vardas1002 Pavarde1002 2 2 4 4 5 7 7 9 10 10 7
Vardas10020 Pavarde10020 1 2 3 4 4 4 5 8 8 10 9
Vardas10026 Pavarde10026 1 1 2 2 4 5 5 5 5 10 10
Vardas10027 Pavarde10027 3 5 6 7 7 7 7 8 8 9 10
Vardas10029 Pavarde10029 3 3 4 5 6 6 7 7 8 9 8
Vardas1003 Pavarde1003 1 2 3 4 4 6 7 8 9 10 6
Vardas10030 Pavarde10030 2 6 7 7 9 9 9 9 10 10 7
Vardas10031 Pavarde10031 1 3 4 5 6 6 6 7 9 10 8
Vardas10034 Pavarde10034 2 3 3 5 5 6 7 9 10 10 5
Vardas10035 Pavarde10035 1 1 1 1 1 5 6 8 9 9 10
Vardas10036 Pavarde10036 1 2 2 3 3 3 4 5 5 6 9
Vardas10039 Pavarde10039 1 1 2 3 4 6 6 7 9 10 6
Vardas1004 Pavarde1004 2 3 5 5 5 6 7 9 9 10 10
Vardas10040 Pavarde10040 2 2 2 5 6 7 7 8 9 10 5
Vardas10041 Pavarde10041 2 2 4 5 5 5 6 8 10 10 8
Vardas10042 Pavarde10042 1 2 3 4 4 6 7 9 10 10 7
Vardas10043 Pavarde10043 3 4 4 5 5 7 8 8 9 10 8
Vardas10044 Pavarde10044 1 2 4 5 6 8 8 8 9 9 6
Vardas10045 Pavarde10045 1 3 4 7 7 8 9 9 10 10 8
Vardas10046 Pavarde10046 2 3 4 5 6 7 7 8 10 10 6
Vardas10047 Pavarde10047 2 3 5 5 5 6 6 7 7 10 6
Vardas10048 Pavarde10048 1 1 3 3 5 7 7 7 8 9 6
Vardas1005 Pavarde1005 1 1 1 2 5 7 8 8 10 10 10
Vardas10054 Pavarde10054 1 2 3 4 4 5 8 9 10 10 10
Vardas10058 Pavarde10058 1 1 4 4 5 6 6 7 8 9 6
Vardas10059 Pavarde10059 2 3 4 5 5 6 6 8 9 10 7
Vardas1006 Pavarde1006 1 2 3 6 6 6 7 7 7 8 7
Vardas10062 Pavarde10062 1 1 3 3 6 7 7 7 8 10 10
Vardas10063 Pavarde10063 1 2 2 3 4 6 6 7 8 9 6
Vardas10065 Pavarde10065 3 4 4 4 5 5 6 6 8 10 5
Vardas10067 Pavarde10067 1 2 4 5 6 7 7 8 9 10 10
Vardas10068 Pavarde10068 2 4 6 7 8 8 9 9 9 10 9
Vardas1007 Pavarde1007 2 2 3 3 3 4 5 7 7 7 6
Vardas10070 Pavarde10070 1 3 3 6 6 6 7 8 8 9 9
Vardas10072 Pavarde10072 1 2 5 5 5 7 8 9 9 10 8
Vardas10073 Pavarde10073 1 1 3 5 6 8 8 9 10 10 5
Vardas10075 Pavarde10075 3 3 4 5 5 5 6 6 7 9 8
Vardas10076 Pavarde10076 1 1 1 3 3 4 4 5 6 9 9
Vardas10077 Pavarde10077 1 1 5 6 6 7 7 8 8 9 7
Vardas10078 Pavarde10078 1 2 3 4 4 5 5 7 9 9 10
Vardas10080 Pavarde10080 1 2 6 7 8 8 9 9 10 10 9
Vardas10082 Pavarde10082 4 4 4 5 6 6 8 9 10 10 7
Vardas10087 Pavarde10087 1 2 3 5 5 6 6 7 10 10 8
Vardas10088 Pavarde10088 3 6 6 7 7 7 8 8 9 10 4
Vardas10089 Pavarde10089 1 4 4 5 6 6 7 7 7 8 9
Vardas10090 Pavarde10090 1 1 2 2 6 7 8 9 10 10 6
Vardas10093 Pavarde10093 1 1 2 2 4 5 5 6 7 7 6
Vardas10095 Pavarde10095 1 1 3 5 6 6 6 7 7 8 6
Vardas10096 Pavarde10096 2 2 5 6 7 7 8 8 9 10 7
Vardas10098 Pavarde10098 1 2 4 5 5 7 8 8 9 9 8
Vardas1010 Pavarde1010 2 3 4 5 5 8 8 9 10 10 5
Vardas10100 Pavarde10100 1 2 2 4 5 5 7 8 9 10 6
Vardas10101 Pavarde10101 1 2 3 5 5 7 8 8 9 10 7
Vardas10105 Pavarde10105 1 1 2 4 4 4 5 7 7 7 7
Vardas10107 Pavarde10107 2 2 2 4 4 5 5 5 7 8 6
Vardas1011 Pavarde1011 2 3 5 7 7 8 8 9 9 10 4
Vardas10111 Pavarde10111 2 3 3 4 5 6 7 7 9 10 6
Vardas10112 Pavarde10112 2 3 3 4 4 6 6 7 8 10 7
Vardas10115 Pavarde10115 1 2 2 2 3 4 4 4 9 10 7
Vardas10118 Pavarde10118 1 1 1 3 4 4 5 7 9 10 10
Vardas10119 Pavarde10119 4 5 5 5 6 8 9 9 9 9 8
Vardas10120 Pavarde10120 1 1 4 5 6 7 7 7 7 9 8
Vardas10121 Pavarde10121 1 3 3 4 5 6 6 7 8 9 8
Vardas10122 Pavarde10122 1 1 2 5 6 6 8 8 9 10 8
Vardas10124 Pavarde10124 2 2 3 3 4 4 6 8 9 10 7
Vardas10130 Pavarde10130 1 2 3 6 7 8 8 9 10 10 5
Vardas10131 Pavarde10131 1 2 3 6 6 6 7 8 10 10 5
Vardas10132 Pavarde10132 2 2 2 3 5 7 8 8 10 10 9
Vardas10138 Pavarde10138 1 2 2 3 7 7 8 9 10 10 6
Vardas10140 Pavarde10140 4 5 6 6 6 7 8 8 9 10 4
