Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Galutinis
Vardas10 Pavarde10 2 3 4 6 6 7 8 9 9 10 5
Vardas1003 Pavarde1003 1 3 4 5 5 6 7 7 8 10 5
Vardas1004 Pavarde1004 1 2 3 4 6 7 7 8 8 8 8
Vardas1009 Pavarde1009 1 1 2 3 4 4 4 8 9 10 10
Vardas101 Pavarde101 2 3 3 3 4 6 7 9 9 9 8
Vardas1011 Pavarde1011 4 4 5 7 7 7 8 8 8 9 6
Vardas1013 Pavarde1013 1 1 1 2 4 5 5 8 8 10 10
Vardas1019 Pavarde1019 1 2 2 3 5 5 5 7 8 10 7
Vardas102 Pavarde102 1 1 2 2 3 3 5 6 7 9 6
Vardas1021 Pavarde1021 1 2 3 4 5 5 6 7 10 10 6
Vardas1022 Pavarde1022 2 4 5 6 6 8 8 9 9 10 10
Vardas1023 Pavarde1023 1 1 1 1 2 3 4 5 7 10 10
Vardas1025 Pavarde1025 2 3 3 3 3 5 6 7 9 9 9
Vardas1027 Pavarde1027 1 2 2 4 4 7 8 9 10 10 8
Vardas103 Pavarde103 1 2 4 4 5 6 9 9 9 10 10
Vardas1030 Pavarde1030 3 4 6 7 7 8 8 8 9 10 8
Vardas1031 Pavarde1031 4 5 5 7 7 8 8 9 9 10 7
Vardas1034 Pavarde1034 1 2 2 2 3 6 8 8 8 9 9
Vardas1035 Pavarde1035 1 2 2 3 3 3 5 5 7 7 10
Vardas1036 Pavarde1036 2 4 6 6 7 7 8 8 8 10 4
Vardas1037 Pavarde1037 1 1 2 2 3 3 4 4 8 10 9
Vardas1039 Pavarde1039 1 3 4 4 6 7 7 8 8 10 6
Vardas104 Pavarde104 1 1 2 3 4 7 7 8 8 10 10
Vardas1041 Pavarde1041 2 2 4 4 5 7 7 7 7 10 6
Vardas1044 Pavarde1044 1 1 2 4 5 8 9 9 10 10 10
Vardas1045 Pavarde1045 1 3 7 8 9 9 9 9 10 10 9
Vardas1047 Pavarde1047 2 4 4 5 6 6 7 8 8 10 6
Vardas1048 Pavarde1048 2 2 2 2 2 3 5 6 9 10 7
Vardas1049 Pavarde1049 1 2 3 6 6 7 7 7 8 10 9
Vardas1051 Pavarde1051 1 4 4 5 6 7 8 9 9 10 7
Vardas1052 Pavarde1052 2 2 3 6 6 7 9 9 9 10 10
Vardas1053 Pavarde1053 3 3 4 5 5 6 6 7 8 10 10
Vardas1054 Pavarde1054 1 1 2 3 3 6 8 9 9 10 6
Vardas1055 Pavarde1055 1 3 5 6 7 7 8 9 10 10 7
Vardas1056 Pavarde1056 2 2 3 4 5 6 8 8 9 10 5
Vardas1059 Pavarde1059 3 4 4 4 5 6 6 6 8 10 7
Vardas1062 Pavarde1062 3 3 6 6 7 7 7 8 9 10 4
Vardas1064 Pavarde1064 1 3 4 6 6 8 9 9 10 10 7
Vardas1065 Pavarde1065 1 2 2 2 4 6 7 8 8 9 10
Vardas1066 Pavarde1066 1 2 3 4 5 5 6 8 9 10 8
Vardas1067 Pavarde1067 1 5 5 7 7 7 7 8 9 10 8
Vardas1069 Pavarde1069 2 5 5 6 6 6 8 9 10 10 10
Vardas1070 Pavarde1070 1 2 3 4 4 5 7 7 8 9 9
Vardas1071 Pavarde1071 1 1 3 3 5 5 6 9 10 10 6
Vardas1075 Pavarde1075 2 4 5 5 5 6 7 9 9 10 7
Vardas1076 Pavarde1076 1 1 2 2 5 6 7 7 10 10 5
Vardas1077 Pavarde1077 1 3 4 4 5 5 5 8 9 10 8
Vardas1078 Pavarde1078 1 5 6 6 7 9 9 10 10 10 4
Vardas1079 Pavarde1079 3 3 4 5 6 7 8 8 9 10 10
Vardas108 Pavarde108 1 2 4 4 4 5 5 6 9 9 10
Vardas1080 Pavarde1080 3 4 4 4 5 5 6 6 7 10 10
Vardas1081 Pavarde1081 1 2 3 4 5 7 8 8 8 9 6
Vardas1082 Pavarde1082 1 1 1 3 4 6 6 9 10 10 7
Vardas1084 Pavarde1084 2 2 3 3 4 5 5 6 7 10 8
Vardas1085 Pavarde1085 3 6 7 7 8 8 8 9 9 10 4
Vardas1087 Pavarde1087 1 1 5 5 6 6 7 8 8 10 10
Vardas1089 Pavarde1089 1 3 4 4 4 5 7 8 8 8 5
Vardas1090 Pavarde1090 1 1 1 4 5 6 9 9 9 9 8
Vardas1093 Pavarde1093 1 2 5 5 6 7 8 8 9 10 8
Vardas1095 Pavarde1095 1 2 2 4 4 4 5 5 6 9 8
Vardas1097 Pavarde1097 1 2 3 3 7 8 8 10 10 10 6
Vardas1098 Pavarde1098 1 2 2 2 4 4 6 7 9 10 9
Vardas1099 Pavarde1099 3 3 4 5 5 5 6 8 9 9 7
Vardas1100 Pavarde1100 3 5 5 7 8 8 9 10 10 10 7
Vardas1105 Pavarde1105 1 2 2 4 5 6 7 7 8 10 10
Vardas1106 Pavarde1106 2 2 4 5 7 7 7 8 8 9 5
Vardas1112 Pavarde1112 1 5 5 5 8 8 9 9 9 10 10
Vardas1113 Pavarde1113 1 1 3 4 4 4 7 8 10 10 7
Vardas1114 Pavarde1114 1 1 2 3 3 6 6 7 8 8 6
Vardas1115 Pavarde1115 1 2 4 4 4 4 7 9 9 10 6
Vardas1116 Pavarde1116 2 2 2 3 5 6 7 8 9 9 9
Vardas1118 Pavarde1118 1 3 3 6 6 6 7 7 8 10 5
Vardas112 Pavarde112 3 4 5 5 5 6 7 8 8 10 6
Vardas1120 Pavarde1120 1 3 4 5 6 7 9 10 10 10 5
Vardas1121 Pavarde1121 2 4 4 4 5 5 6 7 9 9 9
Vardas1123 Pavarde1123 1 1 1 4 4 5 7 7 7 10 8
Vardas1124 Pavarde1124 2 2 3 4 4 6 6 7 9 10 8
Vardas1129 Pavarde1129 1 1 3 3 3 3 5 8 9 10 9
Vardas1130 Pavarde1130 1 1 1 2 4 7 9 9 10 10 8
Vardas1132 Pavarde1132 1 4 4 4 6 7 7 8 9 10 10
Vardas1133 Pavarde1133 2 3 3 4 5 5 6 7 8 10 5
Vardas1134 Pavarde1134 1 1 3 5 5 6 6 8 8 8 10
Vardas1136 Pavarde1136 1 1 1 2 4 7 7 8 9 10 6
Vardas1137 Pavarde1137 1 1 3 3 4 4 6 7 7 10 7
Vardas1138 Pavarde1138 1 1 1 2 3 4 7 8 8 10 8
Vardas114 Pavarde114 2 3 3 4 7 8 8 8 9 10 7
Vardas1143 Pavarde1143 1 2 3 3 4 7 7 9 9 10 8
Vardas1145 Pavarde1145 2 4 6 6 6 6 7 7 7 9 7
Vardas1147 Pavarde1147 1 1 2 4 7 7 8 9 10 10 8
Vardas1150 Pavarde1150 1 2 2 4 5 7 7 8 9 10 7
Vardas1152 Pavarde1152 1 2 6 7 7 8 8 9 10 10 7
Vardas1154 Pavarde1154 1 2 3 4 5 6 7 10 10 10 10
Vardas1155 Pavarde1155 3 3 4 6 6 6 6 7 8 9 5
Vardas1157 Pavarde1157 2 4 4 5 7 7 9 9 10 10 9
Vardas1159 Pavarde1159 2 3 4 4 5 7 7 8 9 10 6
