Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Galutinis
Vardas100 Pavarde100 1 1 2 3 4 5 8 9 10 10 5
Vardas102 Pavarde102 2 4 4 4 6 7 7 7 7 8 6
Vardas103 Pavarde103 1 1 3 4 5 9 9 10 10 10 7
Vardas108 Pavarde108 1 2 4 5 5 5 5 9 9 10 7
Vardas109 Pavarde109 1 1 2 2 4 4 5 8 9 10 10
Vardas112 Pavarde112 2 2 2 3 3 5 7 9 10 10 6
Vardas114 Pavarde114 2 2 3 5 6 7 8 9 10 10 7
Vardas115 Pavarde115 1 4 7 7 7 9 9 10 10 10 7
Vardas117 Pavarde117 2 3 4 4 5 7 7 7 8 9 6
Vardas119 Pavarde119 1 2 3 5 6 6 6 6 9 10 8
Vardas12 Pavarde12 2 3 3 6 6 7 8 8 10 10 8
Vardas120 Pavarde120 1 1 2 3 5 6 7 7 7 10 6
Vardas121 Pavarde121 1 1 2 7 9 10 10 10 10 10 6
Vardas123 Pavarde123 1 1 1 2 2 3 3 4 5 7 8
Vardas126 Pavarde126 2 2 2 6 7 7 8 9 10 10 10
Vardas128 Pavarde128 2 3 3 3 3 4 6 8 9 9 7
Vardas129 Pavarde129 1 2 3 5 5 5 6 9 9 9 6
Vardas13 Pavarde13 2 4 4 5 6 6 7 8 9 10 6
Vardas131 Pavarde131 1 1 1 1 1 1 2 8 10 10 8
Vardas132 Pavarde132 2 5 5 5 5 6 7 10 10 10 8
Vardas133 Pavarde133 1 2 3 3 4 7 8 8 8 9 9
Vardas136 Pavarde136 1 3 3 4 5 5 6 8 9 10 8
Vardas139 Pavarde139 1 1 2 3 5 6 6 7 8 9 7
Vardas141 Pavarde141 2 3 4 6 6 7 7 7 8 9 8
Vardas142 Pavarde142 1 1 3 5 6 8 8 10 10 10 8
Vardas145 Pavarde145 1 2 4 4 5 5 6 7 9 9 8
Vardas146 Pavarde146 3 3 3 5 7 7 9 10 10 10 10
Vardas149 Pavarde149 1 2 2 4 5 6 9 9 9 10 9
Vardas151 Pavarde151 1 2 3 3 6 6 7 8 8 10 8
Vardas152 Pavarde152 1 2 4 6 6 6 8 9 9 10 5
Vardas153 Pavarde153 1 2 3 4 5 6 7 8 9 10 10
Vardas154 Pavarde154 1 1 2 4 4 5 6 6 7 9 7
Vardas156 Pavarde156 1 2 3 4 5 6 6 7 8 9 5
Vardas157 Pavarde157 1 1 1 2 2 2 3 5 8 9 10
Vardas158 Pavarde158 2 2 3 3 5 5 8 9 9 9 8
Vardas159 Pavarde159 1 2 3 3 6 6 6 7 8 9 5
Vardas16 Pavarde16 1 2 3 4 5 6 7 8 8 10 5
Vardas160 Pavarde160 2 2 4 4 5 5 7 8 8 10 10
Vardas161 Pavarde161 1 1 2 3 4 5 6 8 10 10 9
Vardas163 Pavarde163 2 3 4 4 5 5 7 7 8 9 6
Vardas165 Pavarde165 1 2 3 3 4 5 5 5 6 7 8
Vardas167 Pavarde167 1 2 3 4 6 6 6 7 9 9 5
Vardas168 Pavarde168 1 2 3 4 7 7 8 9 9 10 10
Vardas169 Pavarde169 1 2 2 3 4 5 7 8 8 9 10
Vardas170 Pavarde170 3 4 5 7 8 8 9 9 10 10 9
